"Time","Model","Mode","Passed","Total","LoadCommittedMiB","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","Note","Log"
"2026-06-06T13:17:07","Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.80","text","","","28315.69","35.22494552364328","18.194341005588434","36","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.80-text.response.json"
"2026-06-06T13:17:21","Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.80","vision","1","1","28315.69","110.06903715239645","22.984862761963466","309","256","The user wants a one-sentence description of the provided image.
I need to identify the key elements: shapes, colors, and text.

1.  **Shapes:** There is a square on the left and a circle on the right.
2.  **Colors:** The square is red. The circle is blue. The background is white. The text is black.
3.  **Text:** The word ""QWEN"" is written below the shapes in black capital letters.

Drafting the sentence:
- A red square and a blue circle are positioned side-by-side above the black text ""QWEN"" on a white background.
- This image features a red square and a blue circle side-by-side above the word ""QWEN"" written in black capital letters.
- A red square and a blue circle sit side-by-side above the black text ""QWEN"".

Refining for exactness and flow:
""A red square and a blue circle are positioned side-by-side above the black text 'QWEN' on a white background."" - This covers all requirements.

Let's check constraints:
- One sentence? Yes.
- Mention shapes? Yes (square, circle).
- Mention colors","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.80-vision.response.json"
"2026-06-06T13:17:28","Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.80","tool","1","1","28315.69","142.35290744495646","23.89243217450486","283","105","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.80-tool.response.json"
"2026-06-06T13:23:06","Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.80","code:lru_cache","6","6","28315.69","166.2868211797519","21.42539468338874","282","7168","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.80-lru_cache.response.json"
"2026-06-06T13:28:32","Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.80","code:expression_parser","0","7","28315.69","164.47902990859103","22.149668461673574","167","7168","precedence: expected '14', got '' | paren_unary: expected '-20', got '' | trunc_zero: expected '0', got '' | nested: expected '31', got '' | unary_chain: expected '-1', got '' | spaces: expected '10', got '' | left_assoc: expected '3', got ''","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.80-expression_parser.response.json"
"2026-06-06T13:33:40","Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.80","code:weighted_grid_dijkstra","4","6","28315.69","186.98670436423052","23.46831310852357","191","7168","choose_longer_cheaper: expected '18', got '0' | around_wall: expected '11', got '0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.80-weighted_grid_dijkstra.response.json"
"2026-06-06T13:36:55","Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.80","code:topological_scheduler","6","6","28315.69","186.43277000052709","23.258118458417215","191","4478","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.80-topological_scheduler.response.json"
"2026-06-06T13:37:34","Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.85","text","","","28315.69","94.70294841846075","19.532156032628468","36","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.85-text.response.json"
"2026-06-06T13:37:48","Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.85","vision","1","1","28315.69","119.72154860016839","23.00678556381723","309","256","The user wants a one-sentence description of the provided image.
I need to identify the key elements: shapes, colors, and text.

1.  **Shapes:** There is a square on the left and a circle on the right.
2.  **Colors:** The square is red. The circle is blue. The background is white. The text is black.
3.  **Text:** The word ""QWEN"" is written below the shapes in black capital letters.

Drafting the sentence:
- A red square and a blue circle are positioned side-by-side above the black text ""QWEN"" on a white background.
- This image features a red square and a blue circle side-by-side above the word ""QWEN"" written in black capital letters.
- A red square and a blue circle sit side-by-side above the black text ""QWEN"".

Refining for exactness and flow:
""A red square and a blue circle are positioned side-by-side above the black text 'QWEN' on a white background."" - This covers all requirements.

Let's check constraints:
- One sentence? Yes.
- Mention shapes? Yes (square, circle).
- Mention colors","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.85-vision.response.json"
"2026-06-06T13:37:54","Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.85","tool","1","1","28315.69","137.85101471498695","23.172306598136057","283","104","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-27B-v2-MTP-IQ4_XS-temp0.85-tool.response.json"
