variant,base_model,sampler_label,sampler_id,temp,top_p,top_k,run_id,run_json,model_id,suite_name,task_id,task_passed,task_score,task_latency_ms,task_tokens_generated,task_tokens_prompt,task_error,task_output,task_speed_metrics_ttft_ms,task_speed_metrics_prompt_eval_tok_per_sec,task_speed_metrics_generation_tok_per_sec,task_speed_metrics_total_latency_ms,task_selected_trial,task_warmup_dropped,task_selection_method,task_metadata_json
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,agent,agent-01-weather-math,true,100,0,0,0,,23,,,,,,,,"{""agent_components"":{""correct_final"":25,""efficient"":25,""no_hallucinated_tools"":25,""all_required_called"":25},""turns"":[{""role"":""user"",""content"":""What is the temperature difference between Berlin and Tokyo in Fahrenheit? Use the tools, then state the difference as a single integer in your final answer."",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""assistant"",""content"":"""",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""tool"",""content"":""Berlin: 48°F, rain"",""tool_name"":""get_weather"",""tool_args"":{""location"":""Berlin"",""units"":""fahrenheit""},""tool_result"":""Berlin: 48°F, rain""},{""role"":""tool"",""content"":""Tokyo: 71°F, clear"",""tool_name"":""get_weather"",""tool_args"":{""location"":""Tokyo"",""units"":""fahrenheit""},""tool_result"":""Tokyo: 71°F, clear""},{""role"":""assistant"",""content"":"""",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""tool"",""content"":""23"",""tool_name"":""calculator"",""tool_args"":{""expression"":""71 - 48""},""tool_result"":""23""},{""role"":""assistant"",""content"":""23"",""tool_name"":null,""tool_args"":null,""tool_result"":""""}],""tool_calls_total"":3,""hallucinated_tools"":[],""completed"":true,""stop_reason"":""model_finished"",""max_turns"":6}"
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,agent,agent-02-stock-portfolio,false,75,0,0,0,,"The total value of your portfolio is **$3,948**.",,,,,,,,"{""agent_components"":{""correct_final"":0,""efficient"":25,""no_hallucinated_tools"":25,""all_required_called"":25},""turns"":[{""role"":""user"",""content"":""I own 10 shares of AAPL and 5 shares of MSFT. What is my total portfolio value? Use the tools and state the final dollar amount, rounded to the nearest dollar."",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""assistant"",""content"":"""",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""tool"",""content"":""AAPL: $188.43"",""tool_name"":""get_stock_price"",""tool_args"":{""ticker"":""AAPL""},""tool_result"":""AAPL: $188.43""},{""role"":""tool"",""content"":""MSFT: $412.65"",""tool_name"":""get_stock_price"",""tool_args"":{""ticker"":""MSFT""},""tool_result"":""MSFT: $412.65""},{""role"":""assistant"",""content"":"""",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""tool"",""content"":""3947.55"",""tool_name"":""calculator"",""tool_args"":{""expression"":""(10 * 188.43) + (5 * 412.65)""},""tool_result"":""3947.55""},{""role"":""assistant"",""content"":""The total value of your portfolio is **$3,948**."",""tool_name"":null,""tool_args"":null,""tool_result"":""""}],""tool_calls_total"":3,""hallucinated_tools"":[],""completed"":true,""stop_reason"":""model_finished"",""max_turns"":6}"
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,agent,agent-03-string-roundtrip,true,100,0,0,0,,5,,,,,,,,"{""agent_components"":{""correct_final"":25,""efficient"":25,""no_hallucinated_tools"":25,""all_required_called"":25},""turns"":[{""role"":""user"",""content"":""Reverse this sentence: 'hello world from bench loop' and tell me how many words are in the reversed string. State the count as a single integer."",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""assistant"",""content"":"""",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""tool"",""content"":""pool hcneb morf dlrow olleh"",""tool_name"":""reverse_text"",""tool_args"":{""text"":""hello world from bench loop""},""tool_result"":""pool hcneb morf dlrow olleh""},{""role"":""assistant"",""content"":"""",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""tool"",""content"":""5"",""tool_name"":""word_count"",""tool_args"":{""text"":""pool hcneb morf dlrow olleh""},""tool_result"":""5""},{""role"":""assistant"",""content"":""5"",""tool_name"":null,""tool_args"":null,""tool_result"":""""}],""tool_calls_total"":2,""hallucinated_tools"":[],""completed"":true,""stop_reason"":""model_finished"",""max_turns"":5}"
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,agent,agent-04-multi-step-calc,true,100,0,0,0,,93.0,,,,,,,,"{""agent_components"":{""correct_final"":25,""efficient"":25,""no_hallucinated_tools"":25,""all_required_called"":25},""turns"":[{""role"":""user"",""content"":""Compute (12 * 7) + (45 / 5) using the calculator tool. State the final result as a single number."",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""assistant"",""content"":"""",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""tool"",""content"":""93.0"",""tool_name"":""calculator"",""tool_args"":{""expression"":""(12 * 7) + (45 / 5)""},""tool_result"":""93.0""},{""role"":""assistant"",""content"":""93.0"",""tool_name"":null,""tool_args"":null,""tool_result"":""""}],""tool_calls_total"":1,""hallucinated_tools"":[],""completed"":true,""stop_reason"":""model_finished"",""max_turns"":4}"
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,agent,agent-05-refuse-unknown-tool,true,100,0,0,0,,"I cannot answer that question. I only have tools to get weather and stock prices, and I do not have a tool to get population data.",,,,,,,,"{""agent_components"":{""correct_final"":25,""efficient"":25,""no_hallucinated_tools"":25,""all_required_called"":25},""turns"":[{""role"":""user"",""content"":""What is the population of Reykjavik? You only have weather and stock tools. If you cannot answer from those tools, say so explicitly."",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""assistant"",""content"":""I cannot answer that question. I only have tools to get weather and stock prices, and I do not have a tool to get population data."",""tool_name"":null,""tool_args"":null,""tool_result"":""""}],""tool_calls_total"":0,""hallucinated_tools"":[],""completed"":true,""stop_reason"":""model_finished"",""max_turns"":4}"
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,agent,agent-06-weather-fahrenheit,true,100,0,0,0,,The current temperature in Paris is 55°F and the condition is overcast.,,,,,,,,"{""agent_components"":{""correct_final"":25,""efficient"":25,""no_hallucinated_tools"":25,""all_required_called"":25},""turns"":[{""role"":""user"",""content"":""Tell me the current temperature in Paris in Fahrenheit and the condition. Use the tool. Then give a one-sentence final answer."",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""assistant"",""content"":"""",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""tool"",""content"":""Paris: 55°F, overcast"",""tool_name"":""get_weather"",""tool_args"":{""location"":""Paris"",""units"":""fahrenheit""},""tool_result"":""Paris: 55°F, overcast""},{""role"":""assistant"",""content"":""The current temperature in Paris is 55°F and the condition is overcast."",""tool_name"":null,""tool_args"":null,""tool_result"":""""}],""tool_calls_total"":1,""hallucinated_tools"":[],""completed"":true,""stop_reason"":""model_finished"",""max_turns"":4}"
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,agent,agent-07-stocks-compare,true,100,0,0,0,,"The current price for NVDA is $925.10 per share, and the current price for TSLA is $198.50 per share.

Therefore, **NVDA** is more expensive per share right now.",,,,,,,,"{""agent_components"":{""correct_final"":25,""efficient"":25,""no_hallucinated_tools"":25,""all_required_called"":25},""turns"":[{""role"":""user"",""content"":""Which is more expensive per share right now: NVDA or TSLA? Use the tools and state the winner's ticker in your final answer."",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""assistant"",""content"":"""",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""tool"",""content"":""NVDA: $925.10"",""tool_name"":""get_stock_price"",""tool_args"":{""ticker"":""NVDA""},""tool_result"":""NVDA: $925.10""},{""role"":""tool"",""content"":""TSLA: $198.50"",""tool_name"":""get_stock_price"",""tool_args"":{""ticker"":""TSLA""},""tool_result"":""TSLA: $198.50""},{""role"":""assistant"",""content"":""The current price for NVDA is $925.10 per share, and the current price for TSLA is $198.50 per share.\n\nTherefore, **NVDA** is more expensive per share right now."",""tool_name"":null,""tool_args"":null,""tool_result"":""""}],""tool_calls_total"":2,""hallucinated_tools"":[],""completed"":true,""stop_reason"":""model_finished"",""max_turns"":4}"
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,agent,agent-08-chained-tools,true,100,0,0,0,,The sum of the temperatures in London and NYC is 110.,,,,,,,,"{""agent_components"":{""correct_final"":25,""efficient"":25,""no_hallucinated_tools"":25,""all_required_called"":25},""turns"":[{""role"":""user"",""content"":""What is the temperature in London plus the temperature in NYC (both Fahrenheit)? Use tools to fetch each, then use the calculator to add them. State the sum as a single integer."",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""assistant"",""content"":"""",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""tool"",""content"":""London: 52°F, drizzle"",""tool_name"":""get_weather"",""tool_args"":{""location"":""London"",""units"":""fahrenheit""},""tool_result"":""London: 52°F, drizzle""},{""role"":""assistant"",""content"":"""",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""tool"",""content"":""Nyc: 58°F, partly cloudy"",""tool_name"":""get_weather"",""tool_args"":{""location"":""NYC"",""units"":""fahrenheit""},""tool_result"":""Nyc: 58°F, partly cloudy""},{""role"":""assistant"",""content"":"""",""tool_name"":null,""tool_args"":null,""tool_result"":""""},{""role"":""tool"",""content"":""110"",""tool_name"":""calculator"",""tool_args"":{""expression"":""52 + 58""},""tool_result"":""110""},{""role"":""assistant"",""content"":""The sum of the temperatures in London and NYC is 110."",""tool_name"":null,""tool_args"":null,""tool_result"":""""}],""tool_calls_total"":3,""hallucinated_tools"":[],""completed"":true,""stop_reason"":""model_finished"",""max_turns"":6}"
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,coding,coding-csv-parser,true,100,34074.55195800867,1013,53,,"import csv
from io import StringIO

def parse_csv(text: str) -> list[dict]:
    """"""
    Parses CSV text (first row is headers) into a list of dicts.
    Handles quoted fields with commas inside them.

    Args:
        text: The CSV data as a string.

    Returns:
        A list of dictionaries, where each dictionary represents a row.
    """"""
    # Use StringIO to treat the input string as a file
    f = StringIO(text)
    
    # Use the built-in csv module for robust parsing, which handles 
   ",,,,,,,,"{""stdout"":""--- Example 1 ---\n{'Name': 'Alice', 'Age': '30', 'City': 'New York'}\n{'Name': 'Bob', 'Age': '25', 'City': 'Los Angeles'}\n\n==============================\n\n--- Example 2 ---\n{'ID': '1', 'Description': 'Product A, Deluxe Edition', 'Notes': 'High quality item'}\n{'ID': '2', 'Description': 'Product B', 'Notes': 'Standard item'}\n\n==============================\n\n--- Example 3 ---\n{'First': 'John', 'Last': 'Doe', 'Email': 'john.doe@example.com'}\n{'First': 'Jane', 'Last': '', 'Email': 'jane.jane@example.com'}\nPASS\n"",""stderr"":"""",""evaluation_status"":""all_tests_passed""}"
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,coding,coding-fibonacci-memo,true,100,16560.606957995333,491,46,,"def fib(n: int) -> int:
    """"""
    Returns the nth Fibonacci number using memoization.

    The Fibonacci sequence is defined as:
    fib(0) = 0
    fib(1) = 1
    fib(n) = fib(n-1) + fib(n-2) for n > 1

    Args:
        n: The index of the Fibonacci number to calculate (non-negative integer).

    Returns:
        The nth Fibonacci number.
    """"""
    if n < 0:
        raise ValueError(""Input must be a non-negative integer."")

    # Initialize the memoization table (dictionary or list)
    me",,,,,,,,"{""stdout"":""fib(0) = 0\nfib(1) = 1\nfib(2) = 1\nfib(3) = 2\nfib(4) = 3\nfib(5) = 5\nfib(10) = 55\nfib(30) = 832040\nPASS\n"",""stderr"":"""",""evaluation_status"":""all_tests_passed""}"
