"Time","Model","Mode","Passed","Total","LoadCommittedMiB","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","Note","Log"
"2026-05-24T23:34:38","Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0","text","","","10633.98","419.67347356568916","35.70887558051333","41","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-text.response.json"
"2026-05-24T23:34:46","Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0","vision","1","1","10633.98","318.8841224992272","34.456595927903344","294","256","Thinking Process:

1.  **Analyze the image:** The image contains two primary elements placed next to each other on a white background.
2.  **Identify the shapes and colors:**
    *   On the left: A square, bright red.
    *   On the right: A circle, bright blue.
    *   Below the shapes: Text ""QWEN"" in a dark/black font.
3.  **Determine the required output style:** One sentence, describing the image, mentioning shapes, colors, and text *exactly*.
4.  **Draft the sentence (incorporating all elements):** A bright red square is positioned to the left of a large, bright blue circle, and below both shapes the text ""QWEN"" is displayed in black.
5.  **Review against constraints:**
    *   One sentence? Yes.
    *   Mention shapes? Yes (square, circle).
    *   Mention colors exactly? Yes (bright red, bright blue, black).
    *   Mention text exactly? Yes (""QWEN"").
    *   Accurate description? Yes.
6.  **Final Polish:** (The draft is concise and accurate.)","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-vision.response.json"
"2026-05-24T23:34:49","Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0","tool","1","1","10633.98","608.1706403419859","34.934739359551614","69","96","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-tool.response.json"
"2026-05-24T23:35:44","Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0","code:lru_cache","0","6","10633.98","1090.0761147552855","34.07632729732865","286","1817","evict_update_get: expected '1 -1 4 a c', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-lru_cache.js:94 this.head?.next = node; ^^^^^^^^^^^^^^^ SyntaxError: Invalid left-hand side in assignment at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | delete_and_empty_gets: expected '-1 20 EMPTY', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-lru_cache.js:94 this.head?.next = node; ^^^^^^^^^^^^^^^ SyntaxError: Invalid left-hand side in assignment at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | capacity_one: expected '-1 2 -1 3 -1 c', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-lru_cache.js:94 this.head?.next = node; ^^^^^^^^^^^^^^^ SyntaxError: Invalid left-hand side in assignment at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | no_gets: expected 'EMPTY k1 k3', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-lru_cache.js:94 this.head?.next = node; ^^^^^^^^^^^^^^^ SyntaxError: Invalid left-hand side in assignment at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | string_keys: expected '1 -1 3 4 1 aa dd cc', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-lru_cache.js:94 this.head?.next = node; ^^^^^^^^^^^^^^^ SyntaxError: Invalid left-hand side in assignment at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | update_existing: expected '9 -1 a c', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-lru_cache.js:94 this.head?.next = node; ^^^^^^^^^^^^^^^ SyntaxError: Invalid left-hand side in assignment at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-lru_cache.response.json"
"2026-05-24T23:36:39","Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0","code:expression_parser","0","7","10633.98","1105.0456383848652","34.04353587188606","150","1828","precedence: expected '14', got 'Parsing finished unexpectedly at index 1' | paren_unary: expected '-20', got 'Unknown token type at index 0: UNARY_PLUS' | trunc_zero: expected '0', got 'Parsing finished unexpectedly at index 1' | nested: expected '31', got 'Parsing finished unexpectedly at index 1' | unary_chain: expected '-1', got 'Unknown token type at index 0: UNARY_PLUS' | spaces: expected '10', got 'parse is not iterable (cannot read property Symbol(Symbol.iterator))' | left_assoc: expected '3', got 'Parsing finished unexpectedly at index 1'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-expression_parser.response.json"
"2026-05-24T23:37:38","Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0","code:weighted_grid_dijkstra","3","6","10633.98","1231.640417625199","34.09361327022148","174","1934","zero_corridor: expected '0', got '-1 RangeError: Maximum call stack size exceeded at Array Iterator.next (<anonymous>) at MinHeap.swap (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:55:20) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:87:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18)' | choose_longer_cheaper: expected '18', got '-1 RangeError: Maximum call stack size exceeded at Array Iterator.next (<anonymous>) at MinHeap.swap (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:55:20) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:87:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18)' | around_wall: expected '11', got '-1 RangeError: Maximum call stack size exceeded at Array Iterator.next (<anonymous>) at MinHeap.swap (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:55:20) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:87:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18) at MinHeap.bubbleDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.js:88:18)'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-weighted_grid_dijkstra.response.json"
"2026-05-24T23:38:28","Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0","code:topological_scheduler","1","6","10633.98","1183.6762783015622","33.9740075729106","172","1661","simple: expected 'a b c d', got 'Error processing input: TypeError: Cannot read properties of undefined (reading 'index') at PriorityQueue.siftDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-topological_scheduler.js:96:36) at PriorityQueue.dequeue (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-topological_scheduler.js:108:14) at getBuildOrder (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-topological_scheduler.js:134:25) at main (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-topological_scheduler.js:176:28) at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-topological_scheduler.js:189:1) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19)' | lexicographic: expected 'a b c m z', got 'Error processing input: TypeError: Cannot read properties of undefined (reading 'index') at PriorityQueue.siftDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-topological_scheduler.js:96:36) at PriorityQueue.dequeue (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-topological_scheduler.js:108:14) at getBuildOrder (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-topological_scheduler.js:134:25) at main (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-topological_scheduler.js:176:28) at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-topological_scheduler.js:189:1) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19)' | independent: expected 'a b c d', got 'Error processing input: TypeError: Cannot read properties of undefined (reading 'index') at PriorityQueue.siftDown (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-topological_scheduler.js:96:36) at PriorityQueue.dequeue (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-topological_scheduler.js:108:14) at getBuildOrder (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-topological_scheduler.js:134:25) at main (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-topological_scheduler.js:176:28) at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-topological_scheduler.js:189:1) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19)' | diamond: expected 'build lint test package deploy', got 'IMPOSSIBLE' | duplicate_edges: expected 'a b c', got 'IMPOSSIBLE'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Gemma4-E4B-Uncensored-MAX-Opus4.7-Q8_0-topological_scheduler.response.json"
"2026-05-24T23:38:52","GPT-OSS-20B-Hermes-Agent-Tool-Q5_K_M","text","","","19080.79","136.97867196919637","62.74956693638293","91","137","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-GPT-OSS-20B-Hermes-Agent-Tool-Q5_K_M-text.response.json"
"2026-05-24T23:38:52","GPT-OSS-20B-Hermes-Agent-Tool-Q5_K_M","vision","N/A","N/A","19080.79","","","","","no mmproj in repo",""
"2026-05-24T23:38:52","GPT-OSS-20B-Hermes-Agent-Tool-Q5_K_M","tool","1","1","19080.79","457.3733867326536","52.56779862659709","78","19","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-GPT-OSS-20B-Hermes-Agent-Tool-Q5_K_M-tool.response.json"
