"Time","Model","Mode","Passed","Total","LoadCommittedMiB","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","Note","Log"
"2026-05-25T07:36:49","Qwopus3.6-27B-v2-IQ4_XS-MTP","text","","","29314.02","112.14114832535886","20.22780778367624","36","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Qwopus3.6-27B-v2-IQ4_XS-MTP-text.response.json"
"2026-05-25T07:37:09","Qwopus3.6-27B-v2-IQ4_XS-MTP","vision","1","1","29314.02","134.3584637775518","22.382768066434853","1109","256","A red square and a blue circle are placed side-by-side above the black text ""","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Qwopus3.6-27B-v2-IQ4_XS-MTP-vision.response.json"
"2026-05-25T07:37:23","Qwopus3.6-27B-v2-IQ4_XS-MTP","tool","1","1","29314.02","164.72537137422287","22.71646949717663","283","280","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Qwopus3.6-27B-v2-IQ4_XS-MTP-tool.response.json"
"2026-05-25T07:40:27","Qwopus3.6-27B-v2-IQ4_XS-MTP","code:lru_cache","6","6","29314.02","159.94618548199102","21.50566300981529","282","3872","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Qwopus3.6-27B-v2-IQ4_XS-MTP-lru_cache.response.json"
"2026-05-25T07:49:09","Qwopus3.6-27B-v2-IQ4_XS-MTP","code:expression_parser","0","7","29314.02","169.66940880878866","23.077869003269107","167","12000","precedence: expected '14', got '' | paren_unary: expected '-20', got '' | trunc_zero: expected '0', got '' | nested: expected '31', got '' | unary_chain: expected '-1', got '' | spaces: expected '10', got '' | left_assoc: expected '3', got ''","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Qwopus3.6-27B-v2-IQ4_XS-MTP-expression_parser.response.json"
"2026-05-25T07:51:55","Qwopus3.6-27B-v2-IQ4_XS-MTP","code:weighted_grid_dijkstra","4","6","29314.02","179.95829866859125","22.870461704903427","191","3749","choose_longer_cheaper: expected '18', got '0' | around_wall: expected '11', got '0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Qwopus3.6-27B-v2-IQ4_XS-MTP-weighted_grid_dijkstra.response.json"
"2026-05-25T07:59:10","Qwopus3.6-27B-v2-IQ4_XS-MTP","code:topological_scheduler","6","6","29314.02","178.85268344573274","22.212628696166785","191","9603","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Qwopus3.6-27B-v2-IQ4_XS-MTP-topological_scheduler.response.json"
"2026-05-25T07:59:51","Qwopus3.6-27B-v2-Q4_K_M-MTP","text","","","30564.93","110.25088200705605","19.18903970024921","36","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Qwopus3.6-27B-v2-Q4_K_M-MTP-text.response.json"
"2026-05-25T08:00:11","Qwopus3.6-27B-v2-Q4_K_M-MTP","vision","1","1","30564.93","125.32845038321237","22.34522375642938","1109","256","The user wants a one-sentence description of the provided image.
I need to identify:
1.  **Shapes:** There is a red square and a blue circle.
2.  **Colors:** Red, blue, white background, black text.
3.  **Text:** The word ""QWEN"" is at the bottom.

Drafting the sentence:
- A red square is on the left and a blue circle is on the right, with the black text ""QWEN"" below them on a white background.
- The image displays a red square and a blue circle side-by-side above the black text ""QWEN"" on a white background.

Refining for exactness and flow:
""The image features a red square on the left and a blue circle on the right, positioned above the black text 'QWEN' on a white background.""

Let's check against constraints:
- One sentence? Yes.
- Mention shapes? Yes (square, circle).
- Mention colors? Yes (red, blue, black, white).
- Mention text exactly? Yes (""QWEN"").

Final Polish:
A red square and a blue circle are positioned side-by-side above the black text","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Qwopus3.6-27B-v2-Q4_K_M-MTP-vision.response.json"
"2026-05-25T08:00:17","Qwopus3.6-27B-v2-Q4_K_M-MTP","tool","1","1","30564.93","151.9005550542897","21.90993829645848","283","85","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Qwopus3.6-27B-v2-Q4_K_M-MTP-tool.response.json"
"2026-05-25T08:04:14","Qwopus3.6-27B-v2-Q4_K_M-MTP","code:lru_cache","6","6","30564.93","147.97618947668903","21.63216709427538","282","5040","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Qwopus3.6-27B-v2-Q4_K_M-MTP-lru_cache.response.json"
