"Time","Model","Mode","Passed","Total","LoadCommittedMiB","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","Note","Log"
"2026-05-25T04:28:19","TeichAI-Gemma4-26B-A4B-Opus-Distill-Q5_K_M","text","","","24857.37","240.3598530371184","55.204179991503736","42","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-TeichAI-Gemma4-26B-A4B-Opus-Distill-Q5_K_M-text.response.json"
"2026-05-25T04:28:26","TeichAI-Gemma4-26B-A4B-Opus-Distill-Q5_K_M","vision","1","1","24857.37","185.73527874772867","49.965989946296325","295","256","I need to describe the image in exactly one sentence, mentioning the shapes, colors, and text exactly as they appear.

**Image analysis:**
- Shape 1: A red square on the left.
- Shape 2: A blue circle on the right.
- Text: ""QWEN"" in black capital letters at the bottom.

**Drafting the sentence:**
""The image features a red square on the left, a blue circle on the right, and the black text 'QWEN' positioned below them.""

**Refining to meet all constraints:**
- One sentence? Yes.
- Mention shapes? Red square, blue circle.
- Mention colors? Red, blue, black.
- Mention text exactly? QWEN.

Let's double-check colors and shapes.
- Red square: Yes, on the left.
- Blue circle: Yes, on the right.
- Text: QWEN in black, centered at the bottom.

Final sentence construction:
""A red square sits next to a blue circle above the black text 'QWEN'.""

Wait, I should be more precise.
""The image contains a red square on the left,","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-TeichAI-Gemma4-26B-A4B-Opus-Distill-Q5_K_M-vision.response.json"
"2026-05-25T04:28:28","TeichAI-Gemma4-26B-A4B-Opus-Distill-Q5_K_M","tool","1","1","24857.37","322.5565175115466","50.68705810327041","69","102","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-TeichAI-Gemma4-26B-A4B-Opus-Distill-Q5_K_M-tool.response.json"
"2026-05-25T04:30:54","TeichAI-Gemma4-26B-A4B-Opus-Distill-Q5_K_M","code:lru_cache","6","6","24857.37","692.214044200045","47.336626013416954","286","6797","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-TeichAI-Gemma4-26B-A4B-Opus-Distill-Q5_K_M-lru_cache.response.json"
"2026-05-25T04:32:53","TeichAI-Gemma4-26B-A4B-Opus-Distill-Q5_K_M","code:expression_parser","7","7","24857.37","605.9700166035784","47.59747061812141","150","5589","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-TeichAI-Gemma4-26B-A4B-Opus-Distill-Q5_K_M-expression_parser.response.json"
"2026-05-25T04:35:15","TeichAI-Gemma4-26B-A4B-Opus-Distill-Q5_K_M","code:weighted_grid_dijkstra","4","6","24857.37","653.9607849032776","47.377775289936125","174","6678","choose_longer_cheaper: expected '18', got '0' | around_wall: expected '11', got '0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-TeichAI-Gemma4-26B-A4B-Opus-Distill-Q5_K_M-weighted_grid_dijkstra.response.json"
"2026-05-25T04:37:49","TeichAI-Gemma4-26B-A4B-Opus-Distill-Q5_K_M","code:topological_scheduler","6","6","24857.37","645.7426039945938","47.333914947885276","172","7226","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-TeichAI-Gemma4-26B-A4B-Opus-Distill-Q5_K_M-topological_scheduler.response.json"
"2026-05-25T04:38:22","TeichAI-Gemma4-26B-A4B-Opus-Distill-Q6_K","text","","","28224.34","217.43181959371313","50.428683204648266","42","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-TeichAI-Gemma4-26B-A4B-Opus-Distill-Q6_K-text.response.json"
"2026-05-25T04:38:29","TeichAI-Gemma4-26B-A4B-Opus-Distill-Q6_K","vision","1","1","28224.34","211.72147501686598","46.85989294711019","295","256","I need to describe the image in exactly one sentence, mentioning the shapes, colors, and text exactly.

- There is a red square on the left.
- There is a blue circle on the right.
- The word ""QWEN"" is written in black capital letters below the shapes.

Drafting the sentence:
- ""A red square is on the left, a blue circle is on the right, and the text 'QWEN' is below them both.""
- ""This image features a red square on the left, a blue circle on the right, and the word 'QWEN' written in black capital letters underneath.""
- ""A red square and a blue circle are positioned above the black text 'QWEN'.""

Refining for precision:
- Shapes: red square, blue circle
- Colors: red, blue, black text
- Text: QWEN

Final sentence construction:
""A red square is positioned on the left, a blue circle is on the right, and the word 'QWEN' is written in black capital letters underneath both shapes.""

Wait, the prompt asks to ""Mention the shapes, colors, and text exactly.""
- Shapes: red","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-TeichAI-Gemma4-26B-A4B-Opus-Distill-Q6_K-vision.response.json"
"2026-05-25T04:38:30","TeichAI-Gemma4-26B-A4B-Opus-Distill-Q6_K","tool","1","1","28224.34","281.1254797467426","47.82537997264388","69","65","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-TeichAI-Gemma4-26B-A4B-Opus-Distill-Q6_K-tool.response.json"
"2026-05-25T04:40:23","TeichAI-Gemma4-26B-A4B-Opus-Distill-Q6_K","code:lru_cache","6","6","28224.34","651.1098463289699","44.85955028649253","286","4957","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-TeichAI-Gemma4-26B-A4B-Opus-Distill-Q6_K-lru_cache.response.json"
"2026-05-25T04:43:07","TeichAI-Gemma4-26B-A4B-Opus-Distill-Q6_K","code:expression_parser","6","7","28224.34","566.2172160231922","44.61656027470207","150","7299","trunc_zero: expected '0', got '6'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-TeichAI-Gemma4-26B-A4B-Opus-Distill-Q6_K-expression_parser.response.json"
"2026-05-25T04:44:46","TeichAI-Gemma4-26B-A4B-Opus-Distill-Q6_K","code:weighted_grid_dijkstra","4","6","28224.34","580.2959509349769","44.948423042749106","174","4385","choose_longer_cheaper: expected '18', got '0' | around_wall: expected '11', got '0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-TeichAI-Gemma4-26B-A4B-Opus-Distill-Q6_K-weighted_grid_dijkstra.response.json"
"2026-05-25T04:47:59","TeichAI-Gemma4-26B-A4B-Opus-Distill-Q6_K","code:topological_scheduler","6","6","28224.34","599.0985656465737","44.48716285591553","172","8546","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-TeichAI-Gemma4-26B-A4B-Opus-Distill-Q6_K-topological_scheduler.response.json"
"2026-05-25T04:48:32","Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M","text","","","26952.44","237.905075874726","45.95647634462187","42","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M-text.response.json"
