"Time","Model","Mode","Passed","Total","LoadCommittedMiB","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","Note","Log"
"2026-06-02T23:15:08","LiquidAI-LFM2.5-8B-A1B-Q5_K_M","text","","","9115.82","446.27160360262894","142.28198065409694","33","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-text.response.json"
"2026-06-02T23:15:08","LiquidAI-LFM2.5-8B-A1B-Q5_K_M","vision","N/A","N/A","9115.82","","","","","no mmproj in repo",""
"2026-06-02T23:15:09","LiquidAI-LFM2.5-8B-A1B-Q5_K_M","tool","1","1","9115.82","949.59747618093","140.95354222195428","90","166","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-tool.response.json"
"2026-06-02T23:15:37","LiquidAI-LFM2.5-8B-A1B-Q5_K_M","code:lru_cache","0","6","9115.82","2059.5801565280917","122.7049363273034","265","3231","evict_update_get: expected '1 -1 4 a c', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-lru_cache.js:55 const key = line.split(/\s+')[1]; ^ SyntaxError: Invalid regular expression: missing / at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | delete_and_empty_gets: expected '-1 20 EMPTY', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-lru_cache.js:55 const key = line.split(/\s+')[1]; ^ SyntaxError: Invalid regular expression: missing / at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | capacity_one: expected '-1 2 -1 3 -1 c', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-lru_cache.js:55 const key = line.split(/\s+')[1]; ^ SyntaxError: Invalid regular expression: missing / at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | no_gets: expected 'EMPTY k1 k3', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-lru_cache.js:55 const key = line.split(/\s+')[1]; ^ SyntaxError: Invalid regular expression: missing / at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | string_keys: expected '1 -1 3 4 1 aa dd cc', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-lru_cache.js:55 const key = line.split(/\s+')[1]; ^ SyntaxError: Invalid regular expression: missing / at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | update_existing: expected '9 -1 a c', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-lru_cache.js:55 const key = line.split(/\s+')[1]; ^ SyntaxError: Invalid regular expression: missing / at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-lru_cache.response.json"
"2026-06-02T23:16:12","LiquidAI-LFM2.5-8B-A1B-Q5_K_M","code:expression_parser","0","7","9115.82","1521.7471501826096","121.69634604641224","165","4096","precedence: expected '14', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-expression_parser.js:66 (, token, of, rpn) => { ^ SyntaxError: Unexpected token ',' at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | paren_unary: expected '-20', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-expression_parser.js:66 (, token, of, rpn) => { ^ SyntaxError: Unexpected token ',' at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | trunc_zero: expected '0', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-expression_parser.js:66 (, token, of, rpn) => { ^ SyntaxError: Unexpected token ',' at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | nested: expected '31', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-expression_parser.js:66 (, token, of, rpn) => { ^ SyntaxError: Unexpected token ',' at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | unary_chain: expected '-1', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-expression_parser.js:66 (, token, of, rpn) => { ^ SyntaxError: Unexpected token ',' at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | spaces: expected '10', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-expression_parser.js:66 (, token, of, rpn) => { ^ SyntaxError: Unexpected token ',' at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | left_assoc: expected '3', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-expression_parser.js:66 (, token, of, rpn) => { ^ SyntaxError: Unexpected token ',' at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-expression_parser.response.json"
"2026-06-02T23:16:31","LiquidAI-LFM2.5-8B-A1B-Q5_K_M","code:weighted_grid_dijkstra","0","6","9115.82","1675.1783838603353","123.27081730865734","185","2131","basic: expected '4', got 'undefined' | unreachable: expected '-1', got 'undefined' | zero_corridor: expected '0', got 'undefined' | choose_longer_cheaper: expected '18', got 'undefined' | single_row: expected '6', got 'undefined' | around_wall: expected '11', got 'undefined'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-weighted_grid_dijkstra.response.json"
"2026-06-02T23:16:56","LiquidAI-LFM2.5-8B-A1B-Q5_K_M","code:topological_scheduler","1","6","9115.82","1636.4947576693355","123.38589524050444","177","2888","simple: expected 'a b c d', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-topological_scheduler.js:40 swap(this.arr, p); ^ ReferenceError: swap is not defined at MinHeap.push (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-topological_scheduler.js:40:13) at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-topological_scheduler.js:67:14) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | lexicographic: expected 'a b c m z', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-topological_scheduler.js:40 swap(this.arr, p); ^ ReferenceError: swap is not defined at MinHeap.push (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-topological_scheduler.js:40:13) at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-topological_scheduler.js:67:14) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | independent: expected 'a b c d', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-topological_scheduler.js:40 swap(this.arr, p); ^ ReferenceError: swap is not defined at MinHeap.push (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-topological_scheduler.js:40:13) at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-topological_scheduler.js:67:14) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | diamond: expected 'build lint test package deploy', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-topological_scheduler.js:15 graph.set(A, (graph.get(A) ?? []).push(B)); ^ TypeError: (graph.get(...) ?? []).push is not a function at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-topological_scheduler.js:15:39) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | duplicate_edges: expected 'a b c', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-topological_scheduler.js:15 graph.set(A, (graph.get(A) ?? []).push(B)); ^ TypeError: (graph.get(...) ?? []).push is not a function at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-topological_scheduler.js:15:39) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-LiquidAI-LFM2.5-8B-A1B-Q5_K_M-topological_scheduler.response.json"
"2026-06-02T23:17:14","Smoffyy-Gemma4-E2B-Instruct-Pure-Q5_K_M","text","","","5532.17","742.1412542187196","88.77434532388072","42","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Smoffyy-Gemma4-E2B-Instruct-Pure-Q5_K_M-text.response.json"
"2026-06-02T23:17:17","Smoffyy-Gemma4-E2B-Instruct-Pure-Q5_K_M","vision","1","1","5532.17","476.7439748642415","81.18991430975412","315","256","1.  **Analyze the Request:** The user wants a one-sentence description of the provided image, specifically requiring the mention of shapes, colors, and text exactly.

2.  **Examine the Image:**
    *   **Components:** There are two main geometric shapes and some text.
    *   **Shape 1:** A red square (or rectangle, but appears square).
    *   **Shape 2:** A blue circle.
    *   **Text 1 (Large):** ""QWEN"" written below the shapes.
    *   **Text 2 (Small/Bottom):** ""QWEN"" again, followed by what looks like an incomplete or stylized character/symbol (""?"" or similar, but I must describe what is *literally* there).

3.  **Draft the Description (Focusing on exactness):**
    *   *Initial thought:* The image shows a red square and a blue circle, with the text QWEN underneath.
    *   *Refining for specificity:* Need to ensure all elements (shapes, colors, and text) are included in a single, cohesive sentence.

4.  **Final Polish (One Sentence Constraint):","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Smoffyy-Gemma4-E2B-Instruct-Pure-Q5_K_M-vision.response.json"
"2026-06-02T23:17:20","Smoffyy-Gemma4-E2B-Instruct-Pure-Q5_K_M","tool","1","1","5532.17","918.5548071034906","76.47519159634166","69","206","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Smoffyy-Gemma4-E2B-Instruct-Pure-Q5_K_M-tool.response.json"
