"Time","Model","Mode","Passed","Total","LoadCommittedMiB","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","Note","Log"
"2026-06-04T00:07:19","Unsloth-Gemma4-12B-it-UD-Q5_K_XL","text","","","12986.33","234.0145757650048","21.113031169019465","42","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-text.response.json"
"2026-06-04T00:07:19","Unsloth-Gemma4-12B-it-UD-Q5_K_XL","vision","N/A","N/A","12986.33","","","","","no mmproj in repo",""
"2026-06-04T00:07:23","Unsloth-Gemma4-12B-it-UD-Q5_K_XL","tool","1","1","12986.33","201.19105102205054","21.83296406712829","75","73","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-tool.response.json"
"2026-06-04T00:10:44","Unsloth-Gemma4-12B-it-UD-Q5_K_XL","code:lru_cache","0","6","12986.33","355.3152553238276","20.59322805471164","286","4096","evict_update_get: expected '1 -1 4 a c', got '' | delete_and_empty_gets: expected '-1 20 EMPTY', got '' | capacity_one: expected '-1 2 -1 3 -1 c', got '' | no_gets: expected 'EMPTY k1 k3', got '' | string_keys: expected '1 -1 3 4 1 aa dd cc', got '' | update_existing: expected '9 -1 a c', got ''","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-lru_cache.response.json"
"2026-06-04T00:14:05","Unsloth-Gemma4-12B-it-UD-Q5_K_XL","code:expression_parser","0","7","12986.33","356.5892947139203","20.625107116111117","150","4096","precedence: expected '14', got '' | paren_unary: expected '-20', got '' | trunc_zero: expected '0', got '' | nested: expected '31', got '' | unary_chain: expected '-1', got '' | spaces: expected '10', got '' | left_assoc: expected '3', got ''","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-expression_parser.response.json"
"2026-06-04T00:17:25","Unsloth-Gemma4-12B-it-UD-Q5_K_XL","code:weighted_grid_dijkstra","0","6","12986.33","387.6020796856414","20.657541967453245","174","4096","basic: expected '4', got '' | unreachable: expected '-1', got '' | zero_corridor: expected '0', got '' | choose_longer_cheaper: expected '18', got '' | single_row: expected '6', got '' | around_wall: expected '11', got ''","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-weighted_grid_dijkstra.response.json"
"2026-06-04T00:20:45","Unsloth-Gemma4-12B-it-UD-Q5_K_XL","code:topological_scheduler","0","6","12986.33","364.0566065691051","20.635633535411404","172","4096","simple: expected 'a b c d', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-topological_scheduler.js:2 const input = fs.readFileSync(0, ""utf8"").split(/\s+/); ^ ReferenceError: fs is not defined at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-topological_scheduler.js:2:15) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | lexicographic: expected 'a b c m z', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-topological_scheduler.js:2 const input = fs.readFileSync(0, ""utf8"").split(/\s+/); ^ ReferenceError: fs is not defined at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-topological_scheduler.js:2:15) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | cycle: expected 'IMPOSSIBLE', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-topological_scheduler.js:2 const input = fs.readFileSync(0, ""utf8"").split(/\s+/); ^ ReferenceError: fs is not defined at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-topological_scheduler.js:2:15) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | independent: expected 'a b c d', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-topological_scheduler.js:2 const input = fs.readFileSync(0, ""utf8"").split(/\s+/); ^ ReferenceError: fs is not defined at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-topological_scheduler.js:2:15) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | diamond: expected 'build lint test package deploy', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-topological_scheduler.js:2 const input = fs.readFileSync(0, ""utf8"").split(/\s+/); ^ ReferenceError: fs is not defined at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-topological_scheduler.js:2:15) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | duplicate_edges: expected 'a b c', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-topological_scheduler.js:2 const input = fs.readFileSync(0, ""utf8"").split(/\s+/); ^ ReferenceError: fs is not defined at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-topological_scheduler.js:2:15) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q5_K_XL-topological_scheduler.response.json"
"2026-06-04T00:21:13","Unsloth-Gemma4-12B-it-UD-Q4_K_XL","text","","","11736.24","254.10961804904315","24.746065254794093","42","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q4_K_XL-text.response.json"
"2026-06-04T00:21:13","Unsloth-Gemma4-12B-it-UD-Q4_K_XL","vision","N/A","N/A","11736.24","","","","","no mmproj in repo",""
"2026-06-04T00:21:16","Unsloth-Gemma4-12B-it-UD-Q4_K_XL","tool","1","1","11736.24","235.986344256879","24.797187617428992","75","65","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-12B-it-UD-Q4_K_XL-tool.response.json"
