"Time","Model","Mode","Passed","Total","LoadCommittedMiB","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","Note","Log"
"2026-06-09T01:13:01","Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL","text","","","4361.17","128.22156686754712","97.8641897273877","35","194","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-text.response.json"
"2026-06-09T01:13:03","Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL","vision","1","1","4361.17","149.79263234935348","95.68016963835481","307","37","The image features a red square and a blue circle side-by-side, both enclosed in a white box, with the text ""QWEN"" written below each shape.","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-vision.response.json"
"2026-06-09T01:13:04","Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL","tool","1","1","4361.17","1107.7479951321498","94.55985343222717","71","16","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-tool.response.json"
"2026-06-09T01:13:25","Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL","code:lru_cache","0","6","4361.17","2257.408113951418","87.19950388501806","284","1494","evict_update_get: expected '1 -1 4 a c', got '1 2 4 a a a b c c a' | delete_and_empty_gets: expected '-1 20 EMPTY', got '-1 20 y y x' | capacity_one: expected '-1 2 -1 3 -1 c', got '-1 2 2 3 -1 c b c b b' | no_gets: expected 'EMPTY k1 k3', got 'EMPTY k1 k1 k3 k3 k2 k1' | string_keys: expected '1 -1 3 4 1 aa dd cc', got '1 2 3 4 -1 dd cc bb dd aa cc bb' | update_existing: expected '9 -1 a c', got '-1 2 C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-lru_cache.js:93 keys.push(current.key); ^ RangeError: Invalid array length at Array.push (<anonymous>) at LRUCache.getOrderedKeys (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-lru_cache.js:93:18) at solve (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-lru_cache.js:142:31) at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-lru_cache.js:150:1) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) Node.js v24.14.0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-lru_cache.response.json"
"2026-06-09T01:13:44","Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL","code:expression_parser","4","7","4361.17","1902.3462270133166","88.19652437456809","150","1551","paren_unary: expected '-20', got '' | trunc_zero: expected '0', got '' | unary_chain: expected '-1', got ''","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-expression_parser.response.json"
"2026-06-09T01:13:59","Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL","code:weighted_grid_dijkstra","4","6","4361.17","2589.33897294073","88.82105865386144","191","1106","choose_longer_cheaper: expected '18', got '0' | around_wall: expected '11', got '0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-weighted_grid_dijkstra.response.json"
"2026-06-09T01:14:13","Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL","code:topological_scheduler","1","6","4361.17","2574.86172038909","88.59275711024739","189","1077","simple: expected 'a b c d', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:83 adj[uIdx].push(vIdx); ^ TypeError: Cannot read properties of undefined (reading 'push') at solve (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:83:23) at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:117:1) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | lexicographic: expected 'a b c m z', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:83 adj[uIdx].push(vIdx); ^ TypeError: Cannot read properties of undefined (reading 'push') at solve (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:83:23) at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:117:1) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | cycle: expected 'IMPOSSIBLE', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:83 adj[uIdx].push(vIdx); ^ TypeError: Cannot read properties of undefined (reading 'push') at solve (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:83:23) at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:117:1) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | diamond: expected 'build lint test package deploy', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:83 adj[uIdx].push(vIdx); ^ TypeError: Cannot read properties of undefined (reading 'push') at solve (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:83:23) at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:117:1) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | duplicate_edges: expected 'a b c', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:83 adj[uIdx].push(vIdx); ^ TypeError: Cannot read properties of undefined (reading 'push') at solve (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:83:23) at Object.<anonymous> (C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:117:1) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.response.json"
"2026-06-09T01:14:37","Unsloth-Gemma4-E4B-it-QAT-UD-Q4_K_XL","text","","","7167.51","419.46308724832215","55.580341383469815","35","185","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-UD-Q4_K_XL-text.response.json"
"2026-06-09T01:14:39","Unsloth-Gemma4-E4B-it-QAT-UD-Q4_K_XL","vision","1","1","7167.51","328.52530661470183","53.17372353984124","307","32","The image contains a red square and a blue circle side-by-side, with the exact black text ""QWEN"" displayed underneath both shapes.","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-UD-Q4_K_XL-vision.response.json"
"2026-06-09T01:14:39","Unsloth-Gemma4-E4B-it-QAT-UD-Q4_K_XL","tool","1","1","7167.51","638.6327861479649","53.27561808041289","71","16","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-UD-Q4_K_XL-tool.response.json"
