"Time","Model","Mode","Passed","Total","LoadCommittedMiB","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","Note","Log"
"2026-05-26T22:36:16","Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M","text","","","26952.44","241.40705828256122","46.86154847030909","42","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M-text.response.json"
"2026-05-26T22:36:24","Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M","vision","1","1","26952.44","202.51739418466155","42.95593912002409","295","256","*   Target: Describe the image in one sentence.
    *   Requirements: Mention shapes, colors, and text exactly.

    *   Shapes: A square, a circle.
    *   Colors: Red (square), blue (circle), white (background), black (text).
    *   Text: ""QWEN"".

    *   Draft 1: There is a red square, a blue circle, and the black text ""QWEN"" on a white background.
    *   Draft 2: A red square sits next to a blue circle, with the black text ""QWEN"" below them on a white background.
    *   Draft 3: The image features a red square and a blue circle side-by-side above the black text ""QWEN"" on a white background.

    *   ""One sentence"": Yes.
    *   ""Mention shapes"": square, circle.
    *   ""Mention colors"": red, blue, black, white.
    *   ""Mention text exactly"": ""QWEN"".

    *   ""The image features a red square and a blue circle positioned above the black text 'QWEN' on a","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M-vision.response.json"
"2026-05-26T22:36:26","Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M","tool","1","1","26952.44","320.7631373424077","44.25480907527048","69","70","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M-tool.response.json"
"2026-05-26T22:40:31","Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M","code:lru_cache","6","6","26952.44","717.5166897894366","41.238117943165655","286","10020","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M-lru_cache.response.json"
"2026-05-26T22:43:32","Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M","code:expression_parser","7","7","26952.44","619.7220340103452","41.54541844744437","150","7454","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M-expression_parser.response.json"
"2026-05-26T22:46:54","Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M","code:weighted_grid_dijkstra","4","6","26952.44","642.7613619152811","41.4231916818199","174","8301","choose_longer_cheaper: expected '18', got '0' | around_wall: expected '11', got '0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M-weighted_grid_dijkstra.response.json"
"2026-05-26T22:49:48","Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M","code:topological_scheduler","6","6","26952.44","626.2219519920775","41.54006213319123","172","7162","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M-topological_scheduler.response.json"
"2026-05-26T22:49:59","Unsloth-Gemma4-E4B-it-UD-Q5_K_XL","error","0","0","","","","","","server did not become healthy: 0.00.063.244 I log_info: verbosity = 3 (adjust with the `-lv N` CLI arg) 0.00.063.250 I device_info: 0.00.064.344 I   - Vulkan0 : AMD Radeon(TM) 8060S Graphics (114507 MiB, 108782 MiB free) 0.00.064.348 I   - CPU     : AMD RYZEN AI MAX+ 395 w/ Radeon 8060S           (32406 MiB, 26638 MiB free) 0.00.064.392 I system_info: n_threads = 16 (n_threads_batch = 16) / 32 | CPU : SSE3 = 1 | SSSE3 = 1 | AVX = 1 | AVX2 = 1 | F16C = 1 | FMA = 1 | BMI2 = 1 | AVX512 = 1 | AVX512_VBMI = 1 | AVX512_VNNI = 1 | AVX512_BF16 = 1 | LLAMAFILE = 1 | OPENMP = 1 | REPACK = 1 |  0.00.064.430 I srv          init: running without SSL 0.00.064.452 I srv          init: using 31 threads for HTTP server 0.00.064.555 I srv         start: binding port with default address family 0.00.066.294 I srv          main: loading model 0.00.066.304 I srv    load_model: loading model 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\gemma-4-E4B-it-UD-Q5_K_XL.gguf' 0.00.066.350 I common_init_result: fitting params to device memory ... 0.00.066.351 I common_init_result: (for bugs during this step try to reproduce them with -fit off, or provide --verbose logs if the bug only occurs with -fit on) 0.01.247.300 W load: control-looking token:      1 '<eos>' was not control-type; this is probably a bug in the model. its type will be overridden 0.01.247.456 W load: control-looking token:     50 '<|tool_response>' was not control-type; this is probably a bug in the model. its type will be overridden 0.01.247.698 W load: control-looking token:    212 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden 0.01.271.105 W load: special_eog_ids contains '<|tool_response>', removing '</s>' token from EOG list 0.04.398.484 W llama_context: n_ctx_seq (262144) > n_ctx_train (131072) -- possible training context overflow 0.04.589.817 W common_init_from_params: warming up the model with an empty run - please wait ... (--no-warmup to disable) 0.04.658.078 E clip_init: failed to load model 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\mmproj-unsloth-gemma4-E4B-F16.gguf': load_hparams: image_max_pixels (645120) is less than image_min_pixels (2359296)  0.04.658.171 E mtmd_init_from_file: error: Failed to load CLIP model from C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\mmproj-unsloth-gemma4-E4B-F16.gguf  0.04.658.173 E srv    load_model: failed to load multimodal model, 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\mmproj-unsloth-gemma4-E4B-F16.gguf' 0.04.658.182 I srv    operator(): operator(): cleaning up before exit... 0.04.659.342 E srv          main: exiting due to model loading error","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-UD-Q5_K_XL-server.err.log"
"2026-05-26T22:50:08","Unsloth-Gemma4-E2B-it-UD-Q5_K_XL","error","0","0","","","","","","server did not become healthy: 0.00.059.909 I log_info: verbosity = 3 (adjust with the `-lv N` CLI arg) 0.00.059.917 I device_info: 0.00.061.035 I   - Vulkan0 : AMD Radeon(TM) 8060S Graphics (114507 MiB, 108782 MiB free) 0.00.061.039 I   - CPU     : AMD RYZEN AI MAX+ 395 w/ Radeon 8060S           (32406 MiB, 26584 MiB free) 0.00.061.084 I system_info: n_threads = 16 (n_threads_batch = 16) / 32 | CPU : SSE3 = 1 | SSSE3 = 1 | AVX = 1 | AVX2 = 1 | F16C = 1 | FMA = 1 | BMI2 = 1 | AVX512 = 1 | AVX512_VBMI = 1 | AVX512_VNNI = 1 | AVX512_BF16 = 1 | LLAMAFILE = 1 | OPENMP = 1 | REPACK = 1 |  0.00.061.121 I srv          init: running without SSL 0.00.061.143 I srv          init: using 31 threads for HTTP server 0.00.061.242 I srv         start: binding port with default address family 0.00.063.410 I srv          main: loading model 0.00.063.424 I srv    load_model: loading model 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\gemma-4-E2B-it-UD-Q5_K_XL.gguf' 0.00.063.512 I common_init_result: fitting params to device memory ... 0.00.063.514 I common_init_result: (for bugs during this step try to reproduce them with -fit off, or provide --verbose logs if the bug only occurs with -fit on) 0.01.253.278 W load: control-looking token:      1 '<eos>' was not control-type; this is probably a bug in the model. its type will be overridden 0.01.253.437 W load: control-looking token:     50 '<|tool_response>' was not control-type; this is probably a bug in the model. its type will be overridden 0.01.253.706 W load: control-looking token:    212 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden 0.01.281.828 W load: special_eog_ids contains '<|tool_response>', removing '</s>' token from EOG list 0.03.110.027 W llama_context: n_ctx_seq (262144) > n_ctx_train (131072) -- possible training context overflow 0.03.245.289 W common_init_from_params: warming up the model with an empty run - please wait ... (--no-warmup to disable) 0.03.285.612 E clip_init: failed to load model 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\mmproj-unsloth-gemma4-E2B-F16.gguf': load_hparams: image_max_pixels (645120) is less than image_min_pixels (2359296)  0.03.285.691 E mtmd_init_from_file: error: Failed to load CLIP model from C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\mmproj-unsloth-gemma4-E2B-F16.gguf  0.03.285.693 E srv    load_model: failed to load multimodal model, 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\mmproj-unsloth-gemma4-E2B-F16.gguf' 0.03.285.697 I srv    operator(): operator(): cleaning up before exit... 0.03.286.748 E srv          main: exiting due to model loading error","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-UD-Q5_K_XL-server.err.log"
"2026-05-26T22:50:19","Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M","error","0","0","","","","","","server did not become healthy: 0.00.060.167 I log_info: verbosity = 3 (adjust with the `-lv N` CLI arg) 0.00.060.174 I device_info: 0.00.061.303 I   - Vulkan0 : AMD Radeon(TM) 8060S Graphics (114507 MiB, 108782 MiB free) 0.00.061.306 I   - CPU     : AMD RYZEN AI MAX+ 395 w/ Radeon 8060S           (32406 MiB, 26563 MiB free) 0.00.061.353 I system_info: n_threads = 16 (n_threads_batch = 16) / 32 | CPU : SSE3 = 1 | SSSE3 = 1 | AVX = 1 | AVX2 = 1 | F16C = 1 | FMA = 1 | BMI2 = 1 | AVX512 = 1 | AVX512_VBMI = 1 | AVX512_VNNI = 1 | AVX512_BF16 = 1 | LLAMAFILE = 1 | OPENMP = 1 | REPACK = 1 |  0.00.061.389 I srv          init: running without SSL 0.00.061.412 I srv          init: using 31 threads for HTTP server 0.00.061.513 I srv         start: binding port with default address family 0.00.063.712 I srv          main: loading model 0.00.063.717 I srv    load_model: loading model 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\Gemma4-E4B-q5_k_m.gguf' 0.00.063.757 I common_init_result: fitting params to device memory ... 0.00.063.758 I common_init_result: (for bugs during this step try to reproduce them with -fit off, or provide --verbose logs if the bug only occurs with -fit on) 0.01.216.174 W load: control-looking token:     50 '<|tool_response>' was not control-type; this is probably a bug in the model. its type will be overridden 0.01.216.408 W load: control-looking token:    212 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden 0.01.240.723 W load: special_eog_ids contains '<|tool_response>', removing '</s>' token from EOG list 0.03.836.302 W llama_context: n_ctx_seq (262144) > n_ctx_train (131072) -- possible training context overflow 0.04.037.857 W common_init_from_params: warming up the model with an empty run - please wait ... (--no-warmup to disable) 0.04.100.267 E clip_init: failed to load model 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\mmproj-Smoffyy-Gemma4-E4B-f16.gguf': load_hparams: image_max_pixels (645120) is less than image_min_pixels (2359296)  0.04.100.359 E mtmd_init_from_file: error: Failed to load CLIP model from C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\mmproj-Smoffyy-Gemma4-E4B-f16.gguf  0.04.100.361 E srv    load_model: failed to load multimodal model, 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\mmproj-Smoffyy-Gemma4-E4B-f16.gguf' 0.04.100.365 I srv    operator(): operator(): cleaning up before exit... 0.04.101.581 E srv          main: exiting due to model loading error","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M-server.err.log"
